id_a,id_b,title_a,title_b,cosine_full,cosine_title_only,cosine_normalized,label_blank
84,144,Boot engine + try/finally shutdown for short-lived CLI scripts using better-sqlite3 + native extensions,Reuse generateEmbedding singleton in perception runner — avoid double pipeline load,0.2927,0.0739,0.2962,DISTINCT
88,143,Live end-to-end verification is load-bearing — passing unit tests are not proof,Three-engine brain architecture: perception + subconscious + janitor with shared LLM-extractor primitive,0.2900,0.0725,0.2801,DISTINCT
94,131,Bundle test-discipline refactors with the runtime fix that exposed them,Short-lived Node CLIs invoking native extensions: bootEngine + try/finally + process.exitCode template,0.2864,0.1665,0.2202,DISTINCT
33,164,"Capture exit codes through hooks with set +e/set -e, log truthfully",Live e2e is load-bearing for briefs touching native deps or DB schema — unit tests are insufficient,0.2836,0.1377,0.3784,DISTINCT
25,140,chmod-000 test cleanup: restore permissions BEFORE assertions in bats,"igris_perception_reject hard-deletes the row, making rejected-status dedup unreachable",0.2803,0.1480,0.2444,DISTINCT
43,156,Bundle test-discipline refactor with the runtime fix that exposed it,Add a kill-switch config flag (default true) for new write-path features,0.2776,0.1935,0.2558,DISTINCT
25,106,chmod-000 test cleanup: restore permissions BEFORE assertions in bats,Apply bootEngine + try/finally + engine.shutdown() pattern to all short-lived CLI entrypoints,0.2743,0.1821,0.3112,DISTINCT
28,162,Precondition ordering in classification: realpath/MISSING → SAME_INODE → TYPE_ERROR → diff,Add review_status='approved' filter to all hydration read paths — but exempt by-ID and backfill,0.2706,0.2275,0.2928,DISTINCT
85,139,Avoid mocking the function under test — mock at the I/O boundary instead,sqlite-vec returns L2 distance not cosine; convert via normalised-embedding identity,0.2675,0.0230,0.1800,DISTINCT
76,137,Forger plan-deviation can be justified when fixing the structural cause,Igris brain has zero learning↔brief edges despite FR-105 typed edges shipping,0.2646,0.1279,0.2493,DISTINCT
41,89,"Capture exit code with set +e/set -e bracket, not || true",sqlite-vec v0.1.7 mutex teardown crash conditional on embedding pipeline + vec ops,0.2618,0.2371,0.2152,DISTINCT
33,165,"Capture exit codes through hooks with set +e/set -e, log truthfully",Verifier order matters — classify ERROR (RC>=2) before MATCH/MISMATCH,0.2596,0.0597,0.2299,DISTINCT
18,109,Tail-slice prompts to a 256KB byte cap using Buffer.byteLength (TD-073),Capture rc with set +e/set -e bracket and write definitive exit-code log line,0.2566,0.2564,0.3338,DISTINCT
71,80,Defense-in-depth: filter SYNC_TABLES against sqlite_master before iterating,"Helper logs must reflect actual outcome, not intent — capture rc with set +e/set -e",0.2529,0.1431,0.1901,DISTINCT
59,137,"Use BR-062 verify_mirror.sh primitive for symlink/byte-equality claims, not raw diff",Igris brain has zero learning↔brief edges despite FR-105 typed edges shipping,0.2493,0.1389,0.3039,DISTINCT
59,127,"Use BR-062 verify_mirror.sh primitive for symlink/byte-equality claims, not raw diff",sqlite-vec v0.1.7 + transformers worker triggers libc++abi mutex crash on short-lived CLI exit,0.2460,0.0782,0.2512,DISTINCT
63,90,Standalone Node CLIs against engine DBs must bootEngine() and shutdown() in try/finally,Use BR-062 verify_mirror.sh primitive for symlink/mirror integrity checks,0.2428,0.1997,0.2209,DISTINCT
86,118,Defense-in-depth for cross-table sync: filter SYNC_TABLES against sqlite_master per call,Bundle structural test refactor with the runtime fix when the test gap IS the root cause,0.2396,0.2056,0.3264,DISTINCT
17,165,Attach stdin error listener before .end() when piping to child processes,Verifier order matters — classify ERROR (RC>=2) before MATCH/MISMATCH,0.2363,0.0625,0.2557,DISTINCT
33,153,"Capture exit codes through hooks with set +e/set -e, log truthfully","Cheap dedup pre-filter, smart LLM merge later — layer brain hygiene",0.2329,0.1107,0.2281,DISTINCT
18,75,Tail-slice prompts to a 256KB byte cap using Buffer.byteLength (TD-073),Live end-to-end verification beats unit/integration tests for cross-process flows,0.2296,0.1365,0.2930,DISTINCT
41,100,"Capture exit code with set +e/set -e bracket, not || true",Defense-in-depth: filter SYNC_TABLES against sqlite_master before iteration,0.2262,0.0897,0.1718,DISTINCT
60,101,Bundle test-discipline refactors with the runtime fix that exposed the gap,Bash `cmd || true` loses the real exit code — use set +e/$?/set -e instead,0.2224,0.0538,0.2357,DISTINCT
65,129,Bash `|| true` swallows exit codes — use set +e/set -e capture for honest logging,Use BR-062 verify_mirror.sh primitive for mirror-integrity checks instead of ad-hoc diff,0.2189,0.1916,0.1699,DISTINCT
111,144,Use BR-062 verify_mirror.sh primitive for symlink/mirror byte-equality checks,Reuse generateEmbedding singleton in perception runner — avoid double pipeline load,0.2149,0.0851,0.2232,DISTINCT
118,137,Bundle structural test refactor with the runtime fix when the test gap IS the root cause,Igris brain has zero learning↔brief edges despite FR-105 typed edges shipping,0.2112,0.1462,0.2197,DISTINCT
57,140,Capture child process rc with set +e/set -e bracket; never use `|| true` for fire-and-forget hooks,"igris_perception_reject hard-deletes the row, making rejected-status dedup unreachable",0.2071,0.0952,0.2032,DISTINCT
19,144,claude CLI 2.1.126 renamed --system to --system-prompt,Reuse generateEmbedding singleton in perception runner — avoid double pipeline load,0.2027,0.0473,0.1297,DISTINCT
17,145,Attach stdin error listener before .end() when piping to child processes,Ship feature-flag kill switch for risky perception/brain changes,0.1982,-0.0169,0.1814,DISTINCT
24,160,Cascade-update test assertions when adding fields to structured output,"Tee log lifecycle: setup before bootEngine, restore in OUTER try/finally after shutdown",0.1929,0.0399,0.2508,DISTINCT
94,141,Bundle test-discipline refactors with the runtime fix that exposed them,Wire perception features in runner.ts to cover both MCP submit and detached CLI paths,0.1877,0.1775,0.1895,DISTINCT
22,61,Atomic capture of command stdout+stderr+RC in bash via set +e/set -e block,Pre-existing DOW pattern test failures in subconscious — verify unrelated by stash before attributing,0.1825,0.1729,0.1898,DISTINCT
145,163,Ship feature-flag kill switch for risky perception/brain changes,"Cosine 0.85 threshold misses LLM rephrasing — same insight, different wording",0.1783,0.0916,0.2228,DISTINCT
28,128,Precondition ordering in classification: realpath/MISSING → SAME_INODE → TYPE_ERROR → diff,"Live end-to-end verification is load-bearing, not just unit tests",0.1726,0.2503,0.2027,DISTINCT
73,97,"Use BR-062 verify_mirror.sh primitive for mirror-integrity checks, quote verbatim",Add a 5s shutdown timeout fallback to native-extension CLI teardown,0.1670,0.0988,0.2055,DISTINCT
85,161,Avoid mocking the function under test — mock at the I/O boundary instead,"Cosine-from-L2 identity is 1 − L2²/2, not 1 − L2/2 (for unit vectors)",0.1612,-0.0003,0.0677,DISTINCT
147,159,entity_edges only stores brief↔brief — learning corpus and graph layer are disconnected,Never vi.mock the module under test — it erases the bug surface,0.1544,0.0739,0.1728,DISTINCT
25,153,chmod-000 test cleanup: restore permissions BEFORE assertions in bats,"Cheap dedup pre-filter, smart LLM merge later — layer brain hygiene",0.1476,0.0674,0.1068,DISTINCT
27,103,Use curl direct path for files >=200KB instead of MCP file_push tool,Bundle test refactor with runtime fix when test gap caused the bug,0.1390,0.1019,0.1564,DISTINCT
65,90,Bash `|| true` swallows exit codes — use set +e/set -e capture for honest logging,Use BR-062 verify_mirror.sh primitive for symlink/mirror integrity checks,0.1279,0.1370,0.1078,DISTINCT
105,167,Igris brain has BR-062 verify_mirror.sh primitive for byte-equal symlink checks,Detached subprocesses cannot reach in-process event bus — INSERT directly to event_log,0.1181,0.1451,0.1524,DISTINCT
86,148,Defense-in-depth for cross-table sync: filter SYNC_TABLES against sqlite_master per call,Use single event with status-discriminator field rather than N events per status variant,0.1062,0.0933,0.1081,DISTINCT
138,160,Perception extractor produces massive duplicate learnings without pre-filter dedup,"Tee log lifecycle: setup before bootEngine, restore in OUTER try/finally after shutdown",0.0928,-0.0170,0.1426,DISTINCT
108,126,Filter SYNC_TABLES against sqlite_master for resilient cross-schema sync,Use set +e/set -e to capture exit code in bash hooks while preserving never-block-exit-0 contract,0.0711,0.0892,0.1185,DISTINCT
